TIME,R-JOINT-P1,L-JOINT-P1,R-JOINT-P2,L-JOINT-P2,R-JOINT-P3,L-JOINT-P3,R-JOINT-P4,L-JOINT-P4,R-JOINT-P5,L-JOINT-P5,R-JOINT-P6,L-JOINT-P6,R-JOINT-P7,L-JOINT-P7,R-JOINT-V1,L-JOINT-V1,R-JOINT-V2,L-JOINT-V2,R-JOINT-V3,L-JOINT-V3,R-JOINT-V4,L-JOINT-V4,R-JOINT-V5,L-JOINT-V5,R-JOINT-V6,L-JOINT-V6,R-JOINT-V7,L-JOINT-V7,R-CART1,L-CART1,R-CART2,L-CART2,R-CART3,L-CART3,
1.66893e-06,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174873,1.36327,-0.0167261,0.106575,0.254968,1.7321,1.74927,-1.98679e-05,-2.78577e-05,-6.11676e-06,8.47645e-06,-1.11584e-05,3.11998e-06,-1.63536e-06,-1.33122e-05,5.71887e-06,1.06331e-05,-1.06141e-05,3.07756e-05,-2.91493e-05,1.18276e-05,0.162511,0.134591,-0.381408,0.426967,0.133947,0.0980466,
0.0250018,0.896686,-0.966171,-1.12013,-1.2956,-2.17066,2.17721,0.158212,-0.174871,1.36327,-0.0167261,0.106575,0.254968,1.7321,1.74927,-1.49297e-05,-2.58711e-05,-4.77648e-06,-1.41259e-05,7.22012e-06,-2.44826e-05,-1.28233e-05,5.7119e-06,3.17678e-05,7.99022e-06,-2.73047e-05,1.65381e-05,-2.72963e-05,-1.92758e-05,0.162512,0.13459,-0.381408,0.426966,0.133947,0.0980462,
0.0500019,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174871,1.36327,-0.0167261,0.106575,0.254968,1.7321,1.74927,-9.03161e-06,-1.6408e-06,-6.0223e-06,1.86215e-06,8.68762e-06,-2.60125e-05,-2.06803e-06,-7.23564e-06,3.58254e-05,3.36926e-06,-2.66136e-05,1.29453e-05,-3.1533e-05,-1.85135e-05,0.162512,0.13459,-0.381408,0.426967,0.133947,0.0980472,
0.075002,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174869,1.36327,-0.0167261,0.106575,0.254971,1.7321,1.74927,5.97504e-06,-2.91914e-06,2.43588e-05,1.95551e-05,2.15145e-05,-2.05743e-05,1.86189e-06,-1.05903e-05,4.04811e-06,1.42194e-06,-1.97103e-05,3.54316e-05,-3.47902e-05,-1.2822e-05,0.162512,0.134591,-0.381408,0.426967,0.133947,0.0980474,
0.100002,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174871,1.36327,-0.016729,0.106577,0.254968,1.73211,1.74927,4.48993e-06,4.79079e-06,1.19345e-05,-3.97888e-06,1.83966e-05,-9.24496e-06,-1.08939e-05,-1.7145e-05,3.58481e-05,-3.88703e-05,7.59634e-07,1.78258e-05,-8.45649e-06,1.06038e-05,0.162512,0.13459,-0.381408,0.426966,0.133947,0.0980461,
0.125002,0.896686,-0.966169,-1.12013,-1.2956,-2.17066,2.17721,0.158215,-0.174871,1.36327,-0.016729,0.106575,0.254968,1.7321,1.74927,2.69867e-06,7.0985e-06,-6.1695e-06,-2.01298e-05,6.40652e-06,-1.92424e-05,1.28284e-05,-1.10483e-05,1.85894e-05,-2.04918e-05,-1.86935e-05,1.9925e-05,-3.36165e-05,-3.4352e-05,0.162511,0.13459,-0.381407,0.426967,0.133947,0.0980469,
0.150002,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174869,1.36327,-0.0167261,0.106575,0.254971,1.7321,1.74927,2.11241e-06,7.30352e-06,-4.82922e-06,3.00482e-06,9.11847e-06,8.09683e-06,-2.18461e-05,2.07958e-06,1.10831e-05,2.3822e-05,-1.46325e-05,3.43573e-05,-1.39225e-05,-3.19837e-06,0.162511,0.13459,-0.381408,0.426966,0.133947,0.0980471,
0.175002,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174869,1.36327,-0.0167261,0.106575,0.254968,1.73211,1.74927,1.6535e-06,-1.84332e-05,-1.17566e-06,2.61002e-08,3.25894e-06,6.33786e-06,-3.6721e-06,-4.26526e-06,-1.50775e-05,2.40982e-05,-1.14537e-05,-2.09769e-06,1.24528e-05,-7.39401e-07,0.162511,0.134591,-0.381408,0.426966,0.133947,0.0980464,
0.200002,0.896688,-0.966169,-1.12013,-1.2956,-2.17066,2.17721,0.158212,-0.174869,1.36327,-0.0167261,0.106577,0.254968,1.7321,1.74927,1.96393e-05,8.81797e-06,-1.12863e-06,-1.91552e-05,1.21546e-05,6.08434e-06,-1.26922e-05,-4.09465e-06,1.14753e-05,2.31343e-05,7.19746e-06,-2.01378e-06,-1.51232e-05,-7.09825e-07,0.162512,0.13459,-0.381408,0.426966,0.133946,0.0980468,
0.225003,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158215,-0.174871,1.36327,-0.0167261,0.106575,0.254971,1.73211,1.74927,4.30495e-06,-4.87839e-05,3.50472e-06,2.94484e-05,1.57412e-06,1.04298e-05,4.79127e-05,2.88039e-06,-2.37565e-05,-4.42953e-06,-1.51149e-05,2.80231e-05,3.45221e-05,6.92284e-06,0.162512,0.134592,-0.381407,0.426966,0.133947,0.0980467,
0.250003,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158215,-0.174871,1.36327,-0.0167261,0.106575,0.254971,1.73211,1.74927,4.30495e-06,-4.87839e-05,3.50472e-06,2.94484e-05,1.57412e-06,1.04298e-05,4.79127e-05,2.88039e-06,-2.37565e-05,-4.42953e-06,-1.51149e-05,2.80231e-05,3.45221e-05,6.92284e-06,0.162512,0.134592,-0.381407,0.426966,0.133947,0.0980467,
0.275003,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174869,1.36327,-0.0167261,0.106577,0.254968,1.7321,1.74927,2.74759e-06,-3.14889e-05,-3.09479e-06,1.57037e-05,-7.96442e-06,3.7685e-06,9.34271e-06,6.36111e-06,-2.72075e-05,3.21134e-06,1.38638e-05,-4.15159e-06,1.26831e-05,-5.48978e-06,0.162512,0.134591,-0.381408,0.426966,0.133947,0.0980464,
0.300003,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174869,1.36327,-0.0167261,0.106577,0.254968,1.7321,1.74927,2.74759e-06,-3.14889e-05,-3.09479e-06,1.57037e-05,-7.96442e-06,3.7685e-06,9.34271e-06,6.36111e-06,-2.72075e-05,3.21134e-06,1.38638e-05,-4.15159e-06,1.26831e-05,-5.48978e-06,0.162512,0.134591,-0.381408,0.426966,0.133947,0.0980464,
0.325003,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174869,1.36327,-0.0167261,0.106575,0.254968,1.7321,1.74927,1.75362e-06,-1.48093e-05,-1.07564e-05,-3.39575e-06,-1.79122e-06,1.45433e-05,2.83868e-05,9.67042e-06,-1.73649e-05,-3.09336e-06,-7.66201e-06,2.68227e-06,-1.17384e-06,-2.26781e-05,0.162512,0.134591,-0.381408,0.426966,0.133947,0.0980464,
