TIME,R-JOINT-P1,L-JOINT-P1,R-JOINT-P2,L-JOINT-P2,R-JOINT-P3,L-JOINT-P3,R-JOINT-P4,L-JOINT-P4,R-JOINT-P5,L-JOINT-P5,R-JOINT-P6,L-JOINT-P6,R-JOINT-P7,L-JOINT-P7,R-JOINT-V1,L-JOINT-V1,R-JOINT-V2,L-JOINT-V2,R-JOINT-V3,L-JOINT-V3,R-JOINT-V4,L-JOINT-V4,R-JOINT-V5,L-JOINT-V5,R-JOINT-V6,L-JOINT-V6,R-JOINT-V7,L-JOINT-V7,R-CART1,L-CART1,R-CART2,L-CART2,R-CART3,L-CART3,
1.90735e-06,0.90528,-0.966159,-1.17375,-1.2956,-2.20144,2.17731,0.0910468,-0.174871,-4.89688,-0.016729,0.0303515,0.254966,1.59394,1.74927,-1.49976e-06,-1.75822e-07,-2.9096e-05,-2.11579e-05,1.40776e-06,-1.02442e-05,1.62211e-05,-4.72866e-06,-1.77936e-05,-3.59118e-05,6.33994e-06,-9.21774e-06,5.02715e-07,-1.24776e-05,0.141491,0.134554,-0.393045,0.426969,0.127843,0.0980511,
0.025002,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910468,-0.174871,-4.89688,-0.0167261,0.0303515,0.254968,1.59394,1.74927,-4.61568e-06,-1.37626e-07,9.798e-06,3.30517e-06,1.9468e-05,-1.65536e-05,2.67412e-05,-2.7686e-06,2.13904e-05,9.66474e-06,6.95922e-06,1.67072e-05,1.59505e-05,-6.04548e-06,0.141492,0.134554,-0.393046,0.42697,0.127843,0.0980513,
0.0500021,0.90528,-0.966159,-1.17375,-1.2956,-2.20144,2.17731,0.0910448,-0.174873,-4.89688,-0.016729,0.0303515,0.254966,1.59394,1.74927,-7.44766e-06,-1.07728e-07,-1.79856e-05,-1.3394e-05,1.21568e-05,-1.29575e-05,1.32762e-05,-2.27481e-05,1.94854e-05,-2.54237e-05,1.04633e-05,-1.11599e-06,3.77531e-06,2.84517e-06,0.141491,0.134554,-0.393046,0.42697,0.127843,0.0980512,
0.0750022,0.905278,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910448,-0.174871,-4.89688,-0.0167261,0.0303515,0.254966,1.59394,1.74927,-7.93903e-06,-8.4325e-08,-1.40783e-05,6.08426e-06,1.11241e-05,-1.01426e-05,-2.1568e-05,1.39385e-05,6.6156e-06,2.83009e-05,7.10745e-06,3.72139e-06,-1.41683e-05,-1.43433e-06,0.141491,0.134554,-0.393046,0.42697,0.127843,0.0980514,
0.100002,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910468,-0.174869,-4.89688,-0.0167261,0.0303495,0.254968,1.59394,1.74927,1.17808e-05,-1.2031e-06,-2.6354e-05,3.6773e-06,6.80683e-06,-5.74224e-06,-1.14902e-05,3.03396e-05,1.56665e-05,2.45396e-05,-2.32817e-05,1.29862e-05,-9.5994e-06,2.13236e-05,0.141491,0.134554,-0.393046,0.426971,0.127843,0.0980521,
0.125002,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910468,-0.174871,-4.89688,-0.0167261,0.0303534,0.254966,1.59394,1.74927,1.06279e-05,-9.4174e-07,-5.7676e-08,2.36784e-06,1.68343e-05,2.84476e-07,-1.02254e-05,8.36932e-06,6.58427e-06,4.25725e-05,1.55453e-05,-1.24535e-05,-3.20922e-05,2.17734e-05,0.141492,0.134554,-0.393046,0.42697,0.127843,0.0980514,
0.150002,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910487,-0.174871,-4.89688,-0.0167261,0.0303534,0.254966,1.59394,1.74927,4.91799e-06,-7.37154e-07,4.90955e-06,1.15534e-06,1.63475e-05,2.22676e-07,9.36516e-06,2.88261e-06,8.98865e-06,2.7839e-05,1.82625e-05,-1.06027e-05,-1.71726e-05,2.21371e-05,0.141492,0.134554,-0.393045,0.42697,0.127843,0.0980514,
0.175003,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910468,-0.174873,-4.89688,-0.0167261,0.0303515,0.254966,1.59394,1.74927,2.53669e-05,-5.77013e-07,1.81933e-05,2.84036e-05,3.3056e-05,1.39249e-05,1.57719e-05,-8.99615e-06,-6.231e-06,6.48755e-05,1.39547e-05,1.39064e-05,-2.84596e-05,7.72348e-05,0.141492,0.134554,-0.393046,0.42697,0.127843,0.0980515,
0.200003,0.90528,-0.966159,-1.17375,-1.29559,-2.20145,2.17731,0.0910448,-0.174871,-4.89688,-0.0167309,0.0303495,0.254966,1.59394,1.74927,2.10881e-05,-4.51661e-07,1.24853e-05,1.60298e-05,-3.7665e-06,1.45956e-05,-1.93697e-06,5.34976e-06,1.30294e-07,3.38687e-06,-8.81199e-06,1.25326e-05,-2.70851e-05,6.66668e-05,0.141491,0.134554,-0.393046,0.42697,0.127843,0.0980514,
0.225003,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910448,-0.174873,-4.89688,-0.0167261,0.0303515,0.254968,1.59394,1.74927,2.02445e-05,-4.33595e-07,-1.53088e-05,1.53886e-05,1.45806e-05,1.40118e-05,-1.85949e-06,-1.30607e-05,9.2233e-06,4.89735e-05,9.82578e-06,3.02278e-05,-2.60017e-05,3.67055e-05,0.141491,0.134554,-0.393046,0.42697,0.127843,0.0980514,
