TIME,R-JOINT-P1,L-JOINT-P1,R-JOINT-P2,L-JOINT-P2,R-JOINT-P3,L-JOINT-P3,R-JOINT-P4,L-JOINT-P4,R-JOINT-P5,L-JOINT-P5,R-JOINT-P6,L-JOINT-P6,R-JOINT-P7,L-JOINT-P7,R-JOINT-V1,L-JOINT-V1,R-JOINT-V2,L-JOINT-V2,R-JOINT-V3,L-JOINT-V3,R-JOINT-V4,L-JOINT-V4,R-JOINT-V5,L-JOINT-V5,R-JOINT-V6,L-JOINT-V6,R-JOINT-V7,L-JOINT-V7,R-CART1,L-CART1,R-CART2,L-CART2,R-CART3,L-CART3,
2.14577e-06,0.921446,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38318,-0.0167213,0.231788,0.254971,1.45755,1.74927,-1.77413e-05,-5.17779e-06,-1.90798e-05,2.89598e-06,1.91496e-05,3.20762e-06,9.40362e-06,1.46722e-05,3.25779e-05,1.6708e-06,-3.218e-05,1.41825e-05,-1.11469e-05,2.57053e-05,0.104954,0.134588,-0.345773,0.426964,0.0849889,0.0980453,
0.0250022,0.921446,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607363,-0.174869,1.38318,-0.0167232,0.231788,0.254968,1.45755,1.74927,-2.46548e-05,3.04782e-05,-3.12768e-05,1.74856e-06,2.87604e-05,-1.95823e-05,2.99357e-05,1.6097e-05,3.16209e-05,-1.41479e-05,-1.55912e-05,-2.89658e-05,-1.62711e-05,2.01211e-05,0.104954,0.134588,-0.345772,0.426965,0.0849887,0.0980461,
0.0500023,0.921447,-0.966178,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174871,1.38317,-0.0167213,0.231788,0.254971,1.45755,1.74927,-1.47943e-05,-1.50798e-05,-1.60378e-05,1.31395e-06,1.87676e-05,2.49383e-06,1.25164e-05,1.34283e-06,1.71746e-05,3.24452e-06,-1.27561e-05,-4.66284e-06,-2.02433e-05,1.51199e-05,0.104954,0.134588,-0.345772,0.426964,0.0849887,0.0980449,
0.0750024,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38318,-0.0167213,0.231788,0.254968,1.45755,1.74927,-1.1224e-05,2.50486e-05,-3.56223e-05,1.02851e-06,1.55806e-05,-5.97497e-06,5.1924e-06,2.02972e-05,3.24131e-05,2.62338e-06,9.01188e-06,-3.65566e-05,-1.58456e-05,1.18352e-05,0.104954,0.134588,-0.345772,0.426964,0.0849885,0.0980454,
0.100003,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174871,1.38317,-0.0167213,0.231791,0.254968,1.45755,1.74927,-5.07437e-06,2.24226e-05,-1.10334e-05,8.05072e-07,1.69612e-05,3.60913e-06,6.56474e-06,-6.01073e-06,1.05953e-05,4.34416e-06,2.78667e-05,-2.8615e-05,-1.63465e-05,-3.16501e-06,0.104954,0.134588,-0.345772,0.426965,0.0849887,0.0980454,
0.125003,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607324,-0.174867,1.38317,-0.0167232,0.231788,0.254968,1.45755,1.74927,-3.39409e-06,-2.0867e-05,4.23467e-06,6.30177e-07,4.63817e-05,-1.567e-05,-1.85923e-06,2.61796e-05,7.09795e-06,3.8661e-06,-2.4101e-05,-5.14724e-05,5.92389e-06,-2.47743e-06,0.104955,0.134589,-0.345773,0.426964,0.0849886,0.0980452,
0.150003,0.921447,-0.966178,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231791,0.254968,1.45755,1.74927,-2.65675e-06,-3.52239e-05,6.59062e-06,-4.23704e-06,1.69292e-05,7.67352e-07,1.45509e-05,1.50917e-05,5.55597e-06,-3.83313e-06,-2.39525e-06,-3.91488e-05,2.25844e-05,-1.93923e-06,0.104954,0.134588,-0.345772,0.426964,0.0849887,0.0980449,
0.175003,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174871,1.38317,-0.0167232,0.231791,0.254971,1.45755,1.74927,-2.07959e-06,3.6206e-05,-1.38129e-05,-3.31658e-06,8.05913e-06,6.00651e-07,1.12835e-05,-7.0799e-06,1.61544e-05,-4.18046e-06,-2.90786e-05,-4.38939e-06,-8.38144e-06,-1.51795e-06,0.104953,0.134587,-0.345772,0.426965,0.0849887,0.0980461,
0.200003,0.921446,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174871,1.38317,-0.0167213,0.231788,0.254971,1.45755,1.74927,-1.11016e-05,1.73934e-05,-4.5581e-07,-2.49223e-06,5.58893e-07,-1.03583e-05,8.47898e-06,-2.88506e-06,1.21392e-05,1.38877e-05,-5.19074e-05,5.9504e-06,-2.37963e-05,-1.14066e-06,0.104953,0.134588,-0.345772,0.426965,0.084989,0.0980461,
0.225003,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231788,0.254968,1.45755,1.74927,-1.56017e-06,1.97404e-05,-9.45944e-06,-1.95081e-06,-6.29812e-06,-2.59472e-05,6.63699e-06,2.03906e-07,-2.94196e-06,-1.59538e-05,-6.76684e-05,-2.95422e-05,5.04899e-06,4.45331e-06,0.104953,0.134588,-0.345772,0.426965,0.0849887,0.0980461,
