TIME,R-JOINT-P1,L-JOINT-P1,R-JOINT-P2,L-JOINT-P2,R-JOINT-P3,L-JOINT-P3,R-JOINT-P4,L-JOINT-P4,R-JOINT-P5,L-JOINT-P5,R-JOINT-P6,L-JOINT-P6,R-JOINT-P7,L-JOINT-P7,R-JOINT-V1,L-JOINT-V1,R-JOINT-V2,L-JOINT-V2,R-JOINT-V3,L-JOINT-V3,R-JOINT-V4,L-JOINT-V4,R-JOINT-V5,L-JOINT-V5,R-JOINT-V6,L-JOINT-V6,R-JOINT-V7,L-JOINT-V7,R-CART1,L-CART1,R-CART2,L-CART2,R-CART3,L-CART3,
2.14577e-06,0.904395,-0.966171,-1.47001,-1.29559,-2.21444,2.17722,0.0339702,-0.174871,1.3855,-0.0167213,0.254139,0.254971,1.36208,1.74927,-4.11542e-06,2.78428e-06,1.25147e-06,-2.64111e-06,2.93701e-05,2.31968e-05,-7.45928e-06,-2.78221e-05,-6.1951e-06,2.16224e-05,1.94546e-05,1.67658e-05,-2.81649e-05,-7.28581e-06,0.0768929,0.13459,-0.350461,0.426966,0.0863412,0.0980465,
0.0250022,0.904395,-0.966171,-1.47001,-1.29559,-2.21444,2.17722,0.0339702,-0.174869,1.3855,-0.0167232,0.254142,0.254971,1.36208,1.74927,-2.45027e-06,2.17942e-06,9.79598e-07,-2.06735e-06,5.58593e-05,2.48041e-05,-1.44121e-05,-9.11949e-06,-3.9493e-06,4.94554e-06,3.87162e-05,1.83361e-05,-6.29857e-06,-3.3573e-06,0.076894,0.13459,-0.350462,0.426965,0.0863411,0.0980464,
0.0500023,0.904395,-0.966171,-1.47001,-1.2956,-2.21444,2.17721,0.0339702,-0.174871,1.3855,-0.0167232,0.254139,0.254968,1.36208,1.74927,7.96324e-07,1.63772e-06,7.36117e-07,-1.49341e-05,1.41931e-05,9.43504e-06,-1.79555e-05,-1.99638e-05,-1.29573e-05,9.68602e-06,6.24651e-06,-4.53238e-06,-4.8642e-06,-6.24219e-06,0.0768924,0.13459,-0.350461,0.426966,0.0863412,0.0980464,
0.0750024,0.904395,-0.966171,-1.47001,-1.29559,-2.21444,2.17721,0.0339702,-0.174871,1.3855,-0.0167232,0.254139,0.254968,1.36208,1.74927,-1.0642e-07,1.28194e-06,5.76201e-07,5.33697e-06,-2.2912e-06,7.62448e-06,-1.06811e-05,-1.53492e-05,1.12138e-05,2.14904e-05,3.79488e-06,2.23219e-06,4.87309e-06,-5.31695e-06,0.0768923,0.13459,-0.350461,0.426966,0.0863413,0.0980465,
0.100003,0.904396,-0.966171,-1.47001,-1.29559,-2.21444,2.17722,0.0339702,-0.174871,1.3855,-0.0167232,0.254142,0.254971,1.36208,1.74927,1.9368e-05,1.00345e-06,4.51026e-07,-3.54803e-08,-2.41819e-06,1.94382e-05,-1.03511e-05,-1.27874e-05,9.18018e-06,2.08064e-05,2.80567e-05,3.12953e-05,-2.4873e-05,-4.20342e-06,0.0768928,0.13459,-0.350461,0.426966,0.0863408,0.0980465,
0.125003,0.904396,-0.966171,-1.47001,-1.29559,-2.21444,2.17721,0.0339721,-0.174869,1.3855,-0.0167232,0.254139,0.254971,1.36208,1.74927,1.02694e-05,7.85456e-07,9.44017e-06,-7.5552e-06,7.90827e-06,6.11681e-06,8.33824e-06,1.45487e-05,-1.09265e-06,3.166e-05,-2.87394e-06,2.67215e-05,-6.98973e-06,1.96724e-05,0.0768928,0.13459,-0.35046,0.426965,0.0863409,0.0980464,
0.150003,0.904395,-0.966169,-1.47,-1.29559,-2.21444,2.17722,0.0339702,-0.174869,1.3855,-0.0167232,0.254139,0.254971,1.36208,1.74927,-1.48781e-05,2.09995e-05,3.02605e-05,-1.03677e-07,3.84291e-06,1.81295e-05,-7.65361e-06,7.6441e-06,1.72042e-05,2.91375e-05,2.75278e-06,1.43475e-05,-1.33569e-05,-1.72634e-05,0.0768928,0.134589,-0.350462,0.426966,0.0863416,0.0980471,
0.175003,0.904395,-0.966171,-1.47001,-1.29559,-2.21444,2.17721,0.0339721,-0.174869,1.3855,-0.0167232,0.254139,0.254968,1.36208,1.74927,-1.34951e-05,-1.02645e-05,-5.0356e-06,-7.79081e-08,-8.23713e-07,-1.83156e-05,3.19449e-05,6.76753e-06,2.84515e-05,-2.64621e-06,-2.02911e-05,-4.01776e-06,-3.97467e-05,-2.02112e-05,0.076893,0.13459,-0.350461,0.426966,0.0863412,0.0980465,
0.200003,0.904398,-0.966171,-1.47001,-1.29559,-2.21444,2.17721,0.0339702,-0.174869,1.3855,-0.0167232,0.254142,0.254971,1.36208,1.74927,3.0859e-05,-8.60167e-06,-3.94165e-06,-6.09832e-08,1.32529e-05,-2.31861e-05,1.40516e-05,3.61539e-06,1.5395e-05,-1.18464e-05,2.45388e-05,1.7084e-05,2.4428e-06,2.04542e-05,0.0768939,0.13459,-0.35046,0.426965,0.0863403,0.0980464,
0.225003,0.904398,-0.966171,-1.47001,-1.29559,-2.21444,2.17721,0.0339702,-0.174869,1.3855,-0.0167232,0.254142,0.254971,1.36208,1.74927,3.0859e-05,-8.60167e-06,-3.94165e-06,-6.09832e-08,1.32529e-05,-2.31861e-05,1.40516e-05,3.61539e-06,1.5395e-05,-1.18464e-05,2.45388e-05,1.7084e-05,2.4428e-06,2.04542e-05,0.0768939,0.13459,-0.35046,0.426965,0.0863403,0.0980464,
0.250003,0.904395,-0.966169,-1.47001,-1.29559,-2.21444,2.17721,0.033974,-0.174871,1.3855,-0.0167232,0.254139,0.254971,1.36208,1.74927,-1.34644e-05,3.2214e-05,-2.61828e-06,-4.05436e-08,8.81097e-06,-2.64638e-05,6.09677e-05,-2.38264e-05,1.48975e-05,-7.87584e-06,-1.27394e-05,1.26607e-05,-1.12971e-05,2.54191e-07,0.0768931,0.134589,-0.35046,0.426967,0.0863413,0.0980472,
0.275003,0.904395,-0.966169,-1.47001,-1.29559,-2.21444,2.17721,0.033974,-0.174871,1.3855,-0.0167232,0.254139,0.254971,1.36208,1.74927,-1.34644e-05,3.2214e-05,-2.61828e-06,-4.05436e-08,8.81097e-06,-2.64638e-05,6.09677e-05,-2.38264e-05,1.48975e-05,-7.87584e-06,-1.27394e-05,1.26607e-05,-1.12971e-05,2.54191e-07,0.0768931,0.134589,-0.35046,0.426967,0.0863413,0.0980472,
0.300003,0.904395,-0.966171,-1.47001,-1.29559,-2.21444,2.17722,0.0339692,-0.174869,1.3855,-0.0167232,0.254142,0.254968,1.36208,1.74927,-1.79392e-05,-4.18969e-06,3.28955e-06,-6.59717e-07,-1.56632e-05,-6.4581e-06,3.1936e-06,-6.4946e-06,1.84381e-05,-2.16484e-06,7.20912e-06,-1.31933e-05,4.86155e-06,2.96984e-05,0.0768923,0.13459,-0.350462,0.426966,0.0863412,0.0980465,
0.325003,0.904395,-0.966171,-1.47001,-1.29559,-2.21444,2.17722,0.0339692,-0.174869,1.3855,-0.0167232,0.254142,0.254968,1.36208,1.74927,-1.79392e-05,-4.18969e-06,3.28955e-06,-6.59717e-07,-1.56632e-05,-6.4581e-06,3.1936e-06,-6.4946e-06,1.84381e-05,-2.16484e-06,7.20912e-06,-1.31933e-05,4.86155e-06,2.96984e-05,0.0768923,0.13459,-0.350462,0.426966,0.0863412,0.0980465,
0.350003,0.904396,-0.966171,-1.47001,-1.29559,-2.21444,2.17722,0.0339721,-0.174871,1.3855,-0.0167232,0.254139,0.254968,1.36208,1.74927,-6.36386e-06,-2.67403e-06,2.09952e-06,8.43053e-06,-1.57639e-05,-2.76095e-06,1.55118e-05,-2.64772e-05,5.8791e-06,-7.82675e-08,-3.13486e-05,-3.94924e-05,-4.03112e-05,5.78625e-06,0.0768928,0.13459,-0.35046,0.426966,0.0863409,0.0980466,
0.375004,0.904395,-0.966171,-1.47001,-1.29559,-2.21444,2.17721,0.0339702,-0.174869,1.3855,-0.0167232,0.254142,0.254971,1.36208,1.74927,5.51348e-06,-1.70667e-06,1.24496e-05,-1.35245e-05,-1.09216e-05,5.75444e-06,-1.8198e-06,-3.61277e-06,-3.3899e-05,-7.48394e-06,1.02051e-05,-3.53379e-06,-4.01442e-05,3.81454e-06,0.0768924,0.13459,-0.350461,0.426965,0.0863412,0.0980464,
0.400004,0.904395,-0.966171,-1.47001,-1.29559,-2.21444,2.17721,0.0339702,-0.174869,1.3855,-0.0167232,0.254142,0.254971,1.36208,1.74927,5.51348e-06,-1.70667e-06,1.24496e-05,-1.35245e-05,-1.09216e-05,5.75444e-06,-1.8198e-06,-3.61277e-06,-3.3899e-05,-7.48394e-06,1.02051e-05,-3.53379e-06,-4.01442e-05,3.81454e-06,0.0768924,0.13459,-0.350461,0.426965,0.0863412,0.0980464,
0.425004,0.904396,-0.966171,-1.47001,-1.29559,-2.21444,2.17721,0.0339692,-0.174869,1.3855,-0.0167232,0.254139,0.254968,1.36208,1.74927,3.41058e-05,-3.21558e-06,7.81428e-06,-8.63184e-06,1.58809e-05,8.09636e-06,-1.53696e-05,-1.93614e-06,-2.16392e-05,-1.14314e-05,-2.47946e-05,-3.67983e-05,-2.53076e-05,5.49864e-05,0.0768933,0.13459,-0.350461,0.426966,0.0863408,0.0980464,
0.450004,0.904396,-0.966171,-1.47001,-1.29559,-2.21444,2.17721,0.0339692,-0.174869,1.3855,-0.0167232,0.254139,0.254968,1.36208,1.74927,3.41058e-05,-3.21558e-06,7.81428e-06,-8.63184e-06,1.58809e-05,8.09636e-06,-1.53696e-05,-1.93614e-06,-2.16392e-05,-1.14314e-05,-2.47946e-05,-3.67983e-05,-2.53076e-05,5.49864e-05,0.0768933,0.13459,-0.350461,0.426966,0.0863408,0.0980464,
0.475004,0.904395,-0.966171,-1.47001,-1.29559,-2.21444,2.17722,0.0339702,-0.174869,1.3855,-0.0167232,0.254139,0.254968,1.36208,1.74927,9.89168e-06,-2.05231e-06,4.98738e-06,8.77915e-06,6.25976e-06,1.49256e-05,-6.37153e-06,-1.34387e-06,-1.29274e-05,-2.73338e-06,-2.9917e-05,-2.13608e-05,-1.72117e-05,1.65857e-05,0.0768929,0.13459,-0.350461,0.426966,0.0863412,0.0980468,
0.500004,0.904395,-0.966171,-1.47001,-1.29559,-2.21444,2.17722,0.0339702,-0.174869,1.3855,-0.0167232,0.254139,0.254968,1.36208,1.74927,9.89168e-06,-2.05231e-06,4.98738e-06,8.77915e-06,6.25976e-06,1.49256e-05,-6.37153e-06,-1.34387e-06,-1.29274e-05,-2.73338e-06,-2.9917e-05,-2.13608e-05,-1.72117e-05,1.65857e-05,0.0768929,0.13459,-0.350461,0.426966,0.0863412,0.0980468,
0.525004,0.904395,-0.966171,-1.47001,-1.29559,-2.21444,2.17721,0.0339721,-0.174869,1.3855,-0.0167213,0.254142,0.254968,1.36208,1.74927,6.52803e-06,-1.25747e-06,9.68603e-06,-1.16498e-05,1.93523e-06,-4.37684e-06,1.05064e-05,3.65183e-06,1.11531e-05,2.57511e-06,2.41378e-05,-9.48007e-06,-4.94484e-06,1.2525e-05,0.0768925,0.13459,-0.350461,0.426966,0.0863413,0.0980464,
